cbsa_fips,population_2015
10180,169704
10420,704448
10500,153604
10540,120244
10580,879131
10740,906548
10780,154102
10900,830361
11020,124585
11100,261804
11180,96605
11260,398681
11460,363109
11500,115536
11540,233229
11700,444673
12020,202533
12060,5688284
12100,270471
12220,157009
12260,589476
12420,2002591
12540,877197
12580,2790285
12620,151949
12700,213811
12940,828211
12980,134339
13020,105281
13140,409098
13220,122077
13380,211940
13460,174244
13740,167755
13780,245154
13820,1144734
13900,129661
13980,181345
14010,189341
14020,165050
14100,84994
14260,674874
14460,4779753
14500,319175
14540,169488
14740,259320
14860,945301
15180,420058
15260,115822
15380,1132909
15500,157100
15540,217137
15680,110965
15940,402428
15980,699530
16020,97314
16060,126685
16180,54069
16220,82123
16300,266256
16540,153074
16580,239109
16620,220390
16700,745188
16740,2422408
16820,228622
16860,547295
16940,97006
16980,9557880
17020,224812
17140,2157640
17300,279843
17420,120485
17460,2064284
17660,149395
17780,250765
17820,697533
17860,174585
17900,809244
17980,310293
18020,81473
18140,2027559
18580,452557
18700,88270
18880,260887
19060,99846
19100,7109280
19140,143127
19180,79173
19300,202995
19340,383599
19380,800198
19460,152419
19500,107363
19660,621338
19740,2813514
19780,622992
19820,4309845
20020,148010
20100,173129
20220,96884
20260,279166
20500,549596
20700,166598
20740,165535
20940,179179
21060,148184
21140,203024
21300,86718
21340,837500
21500,278182
21660,362047
21780,315001
21820,99630
22020,232880
22140,128261
22180,384006
22220,514579
22380,139024
22420,410470
22500,206259
22520,146847
22540,101951
22660,333309
22900,280496
23060,428843
23420,970442
23460,103003
23540,276546
23580,192458
23900,101776
24020,126636
24140,124428
24220,101881
24260,84472
24300,148227
24340,1040441
24420,84508
24500,81887
24540,285033
24580,315694
24660,751724
24780,176098
24860,872598
25060,388344
25180,260799
25220,128740
25260,150199
25420,564752
25500,131208
25540,1211598
25620,148655
25860,363367
25940,207253
25980,79286
26140,140311
26300,97816
26380,212119
26420,6676565
26580,361050
26620,444560
26820,139620
26900,1985844
26980,167078
27060,103018
27100,159292
27140,579595
27180,129276
27260,1444715
27340,193037
27500,161052
27620,150902
27740,200281
27780,136029
27860,128435
27900,176699
27980,164130
28020,334780
28100,111758
28140,2085979
28420,279095
28660,432750
28700,306183
28740,179692
28940,860324
29020,82340
29100,136407
29180,489537
29200,215355
29340,205252
29420,204661
29460,648758
29540,535737
29620,472839
29700,270120
29740,214151
29820,2098105
29940,118222
30020,130038
30140,137491
30300,62102
30340,107155
30460,501668
30620,104069
30700,323131
30780,730897
30860,132728
30980,217260
31020,103050
31080,13250999
31140,1278977
31180,310029
31340,181877
31420,229849
31460,153739
31540,640028
31700,408811
31740,100275
31860,99190
31900,121702
32580,841061
32780,211432
32820,1343842
32900,266651
33100,5998284
33140,110853
33220,83626
33260,168012
33340,1576781
33460,3519501
33540,114114
33660,414935
33700,533534
33740,179369
33780,149386
33860,373359
34060,138550
34100,116356
34580,121604
34620,115765
34740,172462
34820,431167
34900,141096
34940,356107
34980,1829347
35100,125434
35300,860292
35380,1260452
35620,19999935
35660,155071
35840,767429
35980,269717
36100,342335
36140,94180
36220,159933
36260,640517
36420,1358012
36500,268014
36540,913201
36740,2387554
36780,169270
36980,117565
37100,846922
37340,565992
37460,197315
37620,92131
37860,475563
37900,377165
37980,6057621
38060,4581122
38220,94018
38300,2347907
38340,127857
38540,84216
38860,525926
38900,2382370
38940,453066
39140,220845
39300,1613051
39340,583191
39380,163111
39460,172437
39540,194710
39580,1271196
39660,143284
39740,415193
39820,178361
39900,446606
40060,1269483
40140,4465232
40220,313205
40340,213859
40380,1076800
40420,340828
40580,147549
40660,96200
40900,2264065
40980,193314
41060,195302
41100,154680
41140,126807
41180,2807498
41420,408278
41500,431241
41540,393535
41620,1165246
41660,119044
41700,2380630
41740,3284061
41860,4649539
41940,1975724
42020,280171
42100,273730
42140,148206
42200,442522
42220,501346
42340,377837
42540,557690
42660,3738316
42680,147478
42700,100222
43100,115239
43300,125647
43340,444104
43420,126502
43580,168643
43620,250053
43780,319543
43900,324316
44060,545380
44100,211239
44140,629998
44180,455512
44220,135740
44300,160442
44420,120070
44700,721929
44940,107173
45060,657633
45220,377671
45300,2969251
45460,170438
45500,149827
45540,117070
45780,605182
45820,233580
45940,368352
46060,1009737
46140,981521
46220,240530
46340,222447
46520,991339
46540,293888
46660,143329
46700,433708
47020,99688
47220,154838
47260,1719838
47300,457803
47380,262754
47460,63937
47580,187664
47900,6082465
47940,170855
48060,116403
48140,135289
48260,120662
48300,115682
48540,144144
48620,643257
48660,150149
48700,115576
48900,276895
49020,134297
49180,656352
49340,934848
49420,248065
49620,441800
49660,548873
49700,169471
49740,205456
